&b / 	R_0 / 1/s	LiF b=0.1 t=10
19	124.4	
19.1	121.9	
19.2	121.1	
19.3	121.6	
19.4	123	
19.5	123.2	
19.6	114.7	
19.7	122	
19.8	128.5	
19.9	159.3	
20	314.5	
20.1	1895.7	
20.2	3013.7	
20.3	2562.7	
20.4	523.5	
20.5	290.2	
20.6	257.1	
20.7	246.6	
20.8	226.1	
20.9	207.9	
21	211.4	
21.1	198.6	
21.2	191.5	
21.3	193.8	
21.4	276.5	
21.5	322.3	
21.6	292.5	
21.7	211	
21.8	193.2	
21.9	197.1	
22	206.3	
22.1	243.6	
22.2	346.1	
22.3	1585.8	
22.4	7437.3	
22.5	8515.9	
22.6	7843.9	
22.7	1665.9	
22.8	357.5	
22.9	248.2	
23	224.1	
23.1	200.2	
23.2	186.6	
23.3	172	
23.4	161.2	
23.5	156.1	
23.6	158.2	
23.7	149.3	
23.8	143.7	
23.9	140.4	
24	139	
