&b / 	R_1 / 1/s	LiF b=0.2 t=5
10	153.6	
10.2	157.4	
10.4	165.4	
10.6	157.4	
10.8	170.8	
11	177	
11.2	164.6	
11.4	184.4	
11.6	183.2	
11.8	182.6	
12	185.6	
12.2	196.8	
12.4	189	
12.6	202	
12.8	203.4	
13	197.8	
13.2	184.6	
13.4	171	
13.6	170	
13.8	156.6	
14	149.8	
14.2	157.6	
14.4	150.8	
14.6	151.2	
14.8	156	
15	146.2	
15.2	164.4	
15.4	158.4	
15.6	157	
15.8	170.4	
16	153	
16.2	161.6	
16.4	148.6	
16.6	147.6	
16.8	158	
17	152.8	
17.2	153	
17.4	136.2	
17.6	147.6	
17.8	135.8	
18	170	
18.2	141	
18.4	148.6	
18.6	194	
18.8	140.2	
19	135	
19.2	125	
19.4	123.8	
19.6	124.8	
19.8	118.6	
20	260.2	
20.2	2895	
20.4	820.6	
20.6	258.2	
20.8	238.2	
21	205.6	
21.2	194.8	
21.4	268.8	
21.6	313	
21.8	195.8	
22	193	
22.2	312.4	
22.4	6722.6	
22.6	8175.4	
22.8	400.2	
23	230.6	
23.2	185.4	
23.4	171.6	
23.6	162.4	
23.8	146.4	
24	139.6	
24.2	136	
24.4	125.6	
24.6	128	
24.8	131.2	
25	117.2	
25.2	116.4	
25.4	110.6	
25.6	109.8	
25.8	130.2	
26	116.4	
26.2	99	
26.4	96.4	
26.6	95	
26.8	98	
27	87.4	
27.2	79.8	
27.4	85.4	
27.6	80.8	
27.8	74.8	
28	81	
28.2	69.2	
28.4	68.4	
28.6	81.4	
28.8	164.2	
29	66	
29.2	57.2	
29.4	65.4	
29.6	57	
29.8	54	
30	58.2	
30.2	52.2	
30.4	52.6	
30.6	45	
30.8	42	
31	45	
31.2	37.4	
31.4	35.6	
31.6	32.4	
31.8	36.8	
32	34.4	
32.2	37.4	
32.4	32.4	
32.6	30.4	
32.8	34	
33	30	
33.2	30.4	
33.4	28.6	
33.6	25.6	
33.8	29.2	
34	25.6	
34.2	23.4	
34.4	22.4	
34.6	22.4	
34.8	19.2	
35	20	
35.2	18.8	
35.4	20	
35.6	19.2	
35.8	19.4	
36	17.4	
36.2	16.6	
36.4	18.8	
36.6	15.4	
36.8	15.6	
37	12.6	
37.2	14.8	
37.4	15	
37.6	15	
37.8	14.8	
38	12.8	
38.2	18.6	
38.4	11.6	
38.6	14.2	
38.8	12.6	
39	10.2	
39.2	12.8	
39.4	18.2	
39.6	14	
39.8	10.6	
40	14.6	
40.2	12.6	
40.4	10.8	
40.6	8.4	
40.8	10.6	
41	12	
41.2	12	
41.4	9	
41.6	11	
41.8	9.6	
42	6.6	
42.2	9	
42.4	10.2	
42.6	10	
42.8	12	
43	10.2	
43.2	18.2	
43.4	24.2	
43.6	187.8	
43.8	62.2	
44	17	
44.2	13	
44.4	12.2	
44.6	14.2	
44.8	11.6	
45	10.2	
45.2	10.8	
45.4	8	
45.6	10.6	
45.8	11.2	
46	12.2	
46.2	9.2	
46.4	9.8	
46.6	9.2	
46.8	12	
47	14.6	
47.2	10	
47.4	11.2	
47.6	10.6	
47.8	9	
48	10.6	
48.2	11.6	
48.4	13.2	
48.6	12	
48.8	15.2	
49	15	
49.2	20.2	
49.4	32.6	
49.6	129.2	
49.8	1116.4	
50	684.4	
50.2	35.2	
50.4	17.8	
50.6	14.6	
50.8	15	
51	12	
51.2	11.8	
51.4	12.2	
51.6	11.8	
51.8	7.8	
52	9	
52.2	10.8	
52.4	8.2	
52.6	9.2	
52.8	7.4	
53	9.8	
53.2	7.2	
53.4	7.6	
53.6	10.4	
53.8	9	
54	7	
54.2	9.8	
54.4	5.2	
54.6	7	
54.8	9.6	
55	8.2	
55.2	5.4	
55.4	6.2	
55.6	10.2	
55.8	6	
56	7.8	
56.2	8.6	
56.4	6.6	
56.6	6.8	
56.8	7.2	
57	9.8	
57.2	5.6	
57.4	7.8	
57.6	7	
57.8	7.4	
58	6.6	
58.2	5.2	
58.4	5.6	
58.6	6.4	
58.8	7.8	
59	7.6	
59.2	6	
59.4	6.2	
59.6	5	
59.8	5.8	
60	7	
